접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2021,11470,양천구,10200,목동,1.0,대지,780.0,4.0,성준빌라,20201231,19000,49.74,19.34,1.0,,,1997.0,연립다세대,,
2021,11470,양천구,10100,신정동,1.0,대지,319.0,0.0,우림필유,20201231,77500,76.35,90.44,7.0,,,2004.0,오피스텔,,
2021,11470,양천구,10100,신정동,1.0,대지,326.0,0.0,목동신시가지12,20201231,133000,71.64,,9.0,,,1988.0,아파트,,
2021,11470,양천구,10100,신정동,1.0,대지,1318.0,0.0,이펜하우스5단지,20201231,99000,114.73,0.0,9.0,,,2011.0,아파트,,
2021,11470,양천구,10100,신정동,1.0,대지,337.0,0.0,목동우성2,20201231,126500,113.91,0.0,6.0,,,2000.0,아파트,,
2020,11470,양천구,10300,신월동,1.0,대지,975.0,6.0,한영주택,20201231,15300,43.38,32.44,-1.0,,,1986.0,연립다세대,,
2021,11470,양천구,10300,신월동,1.0,대지,1052.0,0.0,동도센트리움,20201231,59900,69.17,0.0,8.0,,,2007.0,아파트,,
2021,11470,양천구,10200,목동,1.0,대지,916.0,0.0,현대하이페리온,20201231,234000,187.68,252.53,1.0,,,2003.0,오피스텔,,
2021,11470,양천구,10300,신월동,1.0,대지,942.0,11.0,녹원주택(2동),20201231,22500,37.17,27.6,-1.0,,,1988.0,연립다세대,,
2020,11470,양천구,10300,신월동,1.0,대지,468.0,23.0,표준C,20201231,9500,39.32,26.65,-1.0,,,1986.0,연립다세대,,
2021,11470,양천구,10200,목동,1.0,대지,781.0,27.0,(781-27),20201231,6950,33.56,23.94,-1.0,,,1995.0,연립다세대,,
2021,11470,양천구,10200,목동,1.0,대지,534.0,29.0,"에비앙하우스(101동,102동,103동)",20201231,23500,26.86,19.1,3.0,,,2016.0,연립다세대,,
2020,11470,양천구,10200,목동,1.0,대지,324.0,186.0,동진빌라,20201231,27000,40.01,24.64,2.0,,,2016.0,연립다세대,,
2020,11470,양천구,10300,신월동,1.0,대지,954.0,11.0,강월그린빌라,20201231,20000,41.22,25.88,-1.0,,,1988.0,연립다세대,,
2021,11470,양천구,10100,신정동,1.0,대지,733.0,53.0,드어반트라움,20201231,28000,35.33,15.74,8.0,,,2017.0,연립다세대,,
2021,11470,양천구,10300,신월동,1.0,대지,72.0,2.0,라온미브빌,20201231,22700,27.79,17.36,5.0,,,2019.0,연립다세대,,
2020,11470,양천구,10100,신정동,1.0,대지,318.0,1.0,목동대림아크로텔,20201231,45000,56.5,75.81,7.0,,,2004.0,오피스텔,,
2021,11470,양천구,10200,목동,1.0,대지,525.0,9.0,목동미소지음,20201231,26000,49.32,30.97,2.0,,,2007.0,연립다세대,,
