접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명,방,욕실,주차,초등학교,가까운 역,역까지의 거리
2022,11470,양천구,10300,신월동,1.0,대지,1059.0,0.0,상진지오벨리,20211230,60000,84.98,0.0,4.0,,,2009.0,아파트,중개거래,"서울 강서구, 서울 양천구",3.0,2.0,1.27,369.0,화곡역주유소,887.0
2022,11470,양천구,10300,신월동,1.0,대지,1059.0,0.0,상진지오벨리,20211230,60000,84.98,0.0,4.0,,,2009.0,아파트,중개거래,"서울 강서구, 서울 양천구",3.0,2.0,1.27,369.0,화곡역주유소,887.0
2022,11470,양천구,10200,목동,1.0,대지,764.0,4.0,신목,20211230,64500,74.64,0.0,1.0,,,1992.0,아파트,중개거래,서울 양천구,3.0,2.0,0.6,202.0,목동역 5호선,1129.0
2022,11470,양천구,10200,목동,1.0,대지,764.0,4.0,신목,20211230,64500,74.64,0.0,1.0,,,1992.0,아파트,중개거래,서울 양천구,3.0,2.0,0.6,202.0,목동역 5호선,1129.0
2022,11470,양천구,10200,목동,1.0,대지,764.0,4.0,신목,20211230,64500,74.64,0.0,1.0,,,1992.0,아파트,중개거래,서울 양천구,3.0,2.0,0.6,202.0,목동역 5호선,1129.0
2022,11470,양천구,10300,신월동,1.0,대지,1059.0,0.0,상진지오벨리,20211230,60000,84.98,0.0,4.0,,,2009.0,아파트,중개거래,"서울 강서구, 서울 양천구",3.0,2.0,1.27,369.0,화곡역주유소,887.0
2022,11470,양천구,10200,목동,1.0,대지,806.0,25.0,동도빌라트,20211228,107000,143.52,0.0,8.0,,,1996.0,아파트,중개거래,서울 양천구,4.0,2.0,1.36,834.0,목동역 5호선,461.0
2021,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20211228,185500,108.28,0.0,12.0,,,1987.0,아파트,중개거래,서울 양천구,4.0,2.0,0.6,249.0,양천구청역 2호선,587.0
2022,11470,양천구,10200,목동,1.0,대지,936.0,0.0,진도2,20211228,132000,59.46,0.0,8.0,,,1999.0,아파트,중개거래,서울 양천구,3.0,1.0,1.11,113.0,오목교역 5호선,183.0
2021,11470,양천구,10200,목동,1.0,대지,549.0,0.0,목동금호베스트빌,20211227,108000,96.83,0.0,4.0,,,2002.0,아파트,중개거래,서울 양천구,3.0,2.0,1.39,604.0,염창역 9호선,614.0
2022,11470,양천구,10300,신월동,1.0,대지,1053.0,0.0,수명산SKVIEW,20211225,91000,127.89,0.0,8.0,,,2009.0,아파트,중개거래,"서울 강서구, 서울 양천구",4.0,2.0,1.73,165.0,우장산역 5호선,812.0
2022,11470,양천구,10200,목동,1.0,대지,758.0,2.0,목동2차아이파크,20211225,139000,84.85,0.0,5.0,,,2004.0,아파트,중개거래,서울 양천구,3.0,2.0,1.13,99.0,염창역 9호선,1195.0
