접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2022,11680,강남구,10400,청담동,1.0,대지,5.0,0.0,경원오피스텔,20211231,29000,22.77,31.66,5.0,,,1991.0,오피스텔,중개거래,"서울 강남구, 서울 송파구"
2022,11680,강남구,11800,도곡동,1.0,대지,467.0,19.0,현대비젼21,20211231,45000,32.65,0.0,18.0,,,1999.0,아파트,중개거래,서울 강남구
2021,11680,강남구,10800,논현동,1.0,대지,28.0,17.0,논현아테나니케,20211231,165000,112.49,86.54,2.0,,,2004.0,연립다세대,중개거래,서울 강남구
2022,11680,강남구,11400,일원동,1.0,대지,686.0,4.0,(686-4),20211231,70000,28.72,23.41,3.0,,,2020.0,연립다세대,중개거래,서울 강남구
2022,11680,강남구,11400,일원동,1.0,대지,686.0,4.0,(686-4),20211231,70000,28.72,23.41,3.0,,,2020.0,연립다세대,중개거래,서울 강남구
2022,11680,강남구,10400,청담동,1.0,대지,5.0,0.0,경원오피스텔,20211231,29000,22.77,31.66,5.0,,,1991.0,오피스텔,중개거래,"서울 강남구, 서울 송파구"
2022,11680,강남구,10400,청담동,1.0,대지,13.0,31.0,청담동13-31근생/다세대주택,20211231,133503,59.02,29.26,4.0,,,2013.0,연립다세대,중개거래,서울 서초구
2022,11680,강남구,11800,도곡동,1.0,대지,467.0,19.0,현대비젼21,20211231,45000,32.65,0.0,18.0,,,1999.0,아파트,중개거래,서울 강남구
2022,11680,강남구,10400,청담동,1.0,대지,13.0,31.0,청담동13-31근생/다세대주택,20211231,101113,45.39,22.51,5.0,,,2013.0,연립다세대,중개거래,서울 서초구
2021,11680,강남구,10800,논현동,1.0,대지,28.0,17.0,논현아테나니케,20211231,165000,112.49,86.54,2.0,,,2004.0,연립다세대,중개거래,서울 강남구
2022,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20211231,316000,84.94,0.0,16.0,,,2019.0,아파트,중개거래,서울 강남구
2022,11680,강남구,10400,청담동,1.0,대지,13.0,31.0,청담동13-31근생/다세대주택,20211231,133503,59.02,29.26,4.0,,,2013.0,연립다세대,중개거래,서울 서초구
2022,11680,강남구,10400,청담동,1.0,대지,13.0,31.0,청담동13-31근생/다세대주택,20211231,101113,45.39,22.51,5.0,,,2013.0,연립다세대,중개거래,서울 서초구
2022,11680,강남구,10400,청담동,1.0,대지,5.0,0.0,경원오피스텔,20211231,29000,22.77,31.66,5.0,,,1991.0,오피스텔,중개거래,"서울 강남구, 서울 송파구"
2022,11680,강남구,11400,일원동,1.0,대지,686.0,4.0,(686-4),20211231,70000,28.72,23.41,3.0,,,2020.0,연립다세대,중개거래,서울 강남구
2022,11680,강남구,10400,청담동,1.0,대지,13.0,31.0,청담동13-31근생/다세대주택,20211231,133503,59.02,29.26,4.0,,,2013.0,연립다세대,중개거래,서울 서초구
2022,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20211231,316000,84.94,0.0,16.0,,,2019.0,아파트,중개거래,서울 강남구
2022,11680,강남구,11800,도곡동,1.0,대지,467.0,19.0,현대비젼21,20211231,45000,32.65,0.0,18.0,,,1999.0,아파트,중개거래,서울 강남구
2022,11680,강남구,10300,개포동,1.0,대지,1280.0,0.0,래미안블레스티지,20211231,316000,84.94,0.0,16.0,,,2019.0,아파트,중개거래,서울 강남구
2022,11680,강남구,10400,청담동,1.0,대지,13.0,31.0,청담동13-31근생/다세대주택,20211231,101113,45.39,22.51,5.0,,,2013.0,연립다세대,중개거래,서울 서초구
2021,11680,강남구,10800,논현동,1.0,대지,28.0,17.0,논현아테나니케,20211231,165000,112.49,86.54,2.0,,,2004.0,연립다세대,중개거래,서울 강남구
2021,11680,강남구,10100,역삼동,1.0,대지,832.0,3.0,강남역 쉐르빌,20211230,26000,26.08,37.29,12.0,,,2014.0,오피스텔,중개거래,서울 강남구
2022,11680,강남구,10500,삼성동,1.0,대지,108.0,1.0,아셈,20211230,248000,109.32,0.0,5.0,,,2003.0,아파트,중개거래,서울 강남구
