접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고한 개업공인중개사 시군구명
2023,11470,양천구,10200,목동,1.0,대지,904.0,0.0,목동신시가지4,20230721,150000,67.58,0.0,13.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1022.0,0.0,벽산블루밍1단지,20230721,60000,59.95,0.0,10.0,,,2003.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,740.0,20.0,다온캐슬,20230721,22100,28.63,20.77,6.0,,,2018.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,535.0,8.0,엘리시안2,20230721,24500,53.38,28.2,3.0,,,2012.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,326.0,0.0,목동신시가지12,20230721,139000,71.64,0.0,14.0,,,1988.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,951.0,0.0,금호어울림,20230721,105000,84.99,0.0,8.0,,,2004.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,55.0,13.0,첼시하우스,20230721,16000,29.95,20.13,3.0,,,2011.0,연립다세대,직거래,
2023,11470,양천구,10200,목동,1.0,대지,902.0,0.0,목동신시가지2,20230721,221000,122.31,0.0,1.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1283.0,0.0,푸른마을3,20230720,55500,59.99,0.0,10.0,,,2001.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1277.0,0.0,신트리4,20230720,52500,48.96,0.0,15.0,,,2000.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,234.0,2.0,엘레강스,20230720,30000,27.36,17.74,2.0,,,2016.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,973.0,39.0,신성스카이뷰,20230720,36400,29.03,11.0,6.0,,,2020.0,연립다세대,중개거래,서울 영등포구
2023,11470,양천구,10200,목동,1.0,대지,912.0,0.0,목동신시가지5,20230720,253500,143.36,0.0,4.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,904.0,0.0,목동신시가지4,20230720,196000,96.36,0.0,6.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,965.0,0.0,목동롯데캐슬마에스트로,20230719,102000,59.98,0.0,12.0,,,2019.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20230718,215000,129.33,0.0,5.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,529.0,1.0,주원베르빌,20230718,24500,29.2,17.7,4.0,,,2015.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,421.0,1.0,웨인빌,20230718,27200,37.87,22.65,4.0,,,2020.0,연립다세대,직거래,
2023,11470,양천구,10200,목동,1.0,대지,538.0,2.0,서경홈타운,20230718,34000,29.03,19.39,3.0,,,2022.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,602.0,3.0,청정,20230718,60000,131.67,0.0,6.0,,,2004.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,547.0,3.0,목련주택,20230718,15000,41.44,30.03,-1.0,,,1986.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,235.0,7.0,신목동샤르망오피스텔,20230718,6900,20.55,27.41,5.0,,,2004.0,오피스텔,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,538.0,2.0,서경홈타운,20230718,34500,29.03,19.39,5.0,,,2022.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,122.0,17.0,케이씨하우징,20230718,40900,29.94,19.69,4.0,,,2023.0,연립다세대,직거래,
2023,11470,양천구,10200,목동,1.0,대지,929.0,0.0,목동청구한신아파트,20230717,141000,84.76,0.0,14.0,,,1997.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1259.0,0.0,신트리1,20230717,59500,49.95,0.0,4.0,,,1999.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,20.0,32.0,세진주택,20230717,27000,60.87,43.01,2.0,,,1994.0,연립다세대,중개거래,"서울 강서구, 서울 양천구"
2023,11470,양천구,10100,신정동,1.0,대지,920.0,16.0,신정화이트빌,20230717,25000,77.73,28.8,4.0,,,2003.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1198.0,3.0,대성유니드2차,20230717,64400,84.67,0.0,4.0,,,2004.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,231.0,11.0,주원베르빌(231-11),20230717,29000,42.3,26.8,4.0,,,2014.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1076.0,0.0,목동센트럴아이파크위브2단지,20230717,67500,52.85,0.0,4.0,,,2020.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1302.0,0.0,주건드림빌,20230716,63000,79.19,0.0,7.0,,,2004.0,아파트,중개거래,"서울 강서구, 서울 양천구"
2023,11470,양천구,10300,신월동,1.0,대지,1076.0,0.0,목동센트럴아이파크위브2단지,20230715,84000,59.97,0.0,4.0,,,2020.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,318.0,94.0,스타힐스빌,20230715,23000,49.08,39.16,3.0,,,2006.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1024.0,0.0,신월휘버스,20230715,39000,83.88,0.0,3.0,,,2004.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,54.0,10.0,미리내아파트,20230715,31250,55.16,0.0,3.0,,,2004.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,311.0,0.0,목동신시가지10,20230715,141500,70.2,0.0,7.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,311.0,0.0,목동신시가지10,20230715,111500,53.82,0.0,15.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,932.0,21.0,대성탑스빌,20230715,28000,55.61,32.32,5.0,,,2011.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,231.0,45.0,파인힐,20230715,31000,59.88,34.7,3.0,,,2002.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,951.0,0.0,금호어울림,20230714,102000,84.99,0.0,7.0,,,2004.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,201.0,1.0,세양청마루2차주상복합,20230714,64000,84.42,0.0,9.0,,,2008.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,97.0,15.0,신월건양씨티빌,20230714,16000,74.11,34.86,3.0,,,2003.0,연립다세대,직거래,
2023,11470,양천구,10100,신정동,1.0,대지,1207.0,5.0,담비아트빌,20230714,50000,37.79,23.27,2.0,,,2002.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,987.0,1.0,신월시영,20230714,54500,50.67,0.0,12.0,,,1988.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1259.0,0.0,신트리1,20230714,60500,49.95,0.0,9.0,,,1999.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1279.0,0.0,목동현대3차,20230714,130000,84.77,0.0,14.0,,,1997.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1027.0,0.0,양천벽산블루밍2단지,20230714,66500,84.77,0.0,2.0,,,2006.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,929.0,0.0,목동청구한신아파트,20230714,137000,84.77,0.0,8.0,,,1997.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,716.0,15.0,예지팰리스92차,20230714,42800,54.39,37.5,5.0,,,2018.0,연립다세대,중개거래,"서울 관악구, 서울 양천구"
2023,11470,양천구,10200,목동,1.0,대지,925.0,0.0,목동신시가지7,20230714,200000,74.12,0.0,5.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,912.0,0.0,목동신시가지5,20230714,159000,65.08,0.0,10.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,329.0,0.0,목동신시가지14,20230714,111500,55.02,0.0,14.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,325.0,0.0,목동신시가지11,20230714,114000,59.29,0.0,1.0,,,1988.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,956.0,0.0,롯데캐슬위너,20230714,137000,114.75,0.0,11.0,,,2005.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,,,,,,20230714,39600,215.91,144.7,,,,1990.0,단독다가구,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,912.0,0.0,목동신시가지5,20230713,253000,115.47,0.0,4.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1075.0,0.0,목동센트럴아이파크위브1단지,20230713,93000,84.98,0.0,17.0,,,2020.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,929.0,0.0,목동청구한신아파트,20230713,147500,84.76,0.0,12.0,,,1997.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1017.0,0.0,대방샤인힐,20230713,56500,72.97,0.0,9.0,,,2003.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,713.0,11.0,목동월드파크빌,20230713,30500,35.77,17.75,6.0,,,2016.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1296.0,0.0,아이파크,20230713,153000,84.88,0.0,17.0,,,2002.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,911.0,0.0,목동신시가지6,20230713,122000,47.94,0.0,5.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,327.0,0.0,목동신시가지13,20230713,260000,151.76,0.0,8.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,515.0,23.0,효명,20230713,30900,35.74,22.0,4.0,,,2016.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,912.0,0.0,목동신시가지5,20230713,220000,95.28,0.0,11.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,973.0,40.0,하나목동아이파크뷰(973-40),20230713,35000,25.35,10.49,2.0,,,2020.0,연립다세대,직거래,
2023,11470,양천구,10300,신월동,1.0,대지,1077.0,0.0,목동센트럴아이파크위브3단지,20230713,68500,52.85,0.0,10.0,,,2020.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,911.0,0.0,목동신시가지6,20230713,155500,65.1,0.0,10.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,514.0,3.0,해태,20230712,40300,59.91,0.0,4.0,,,1999.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,,,,,,20230712,52300,155.38,176.5,,,,1982.0,단독다가구,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,914.0,19.0,뉴파인빌15차,20230712,24500,36.73,24.1,4.0,,,2010.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,733.0,4.0,"미라벨제1동,제2동",20230712,27000,34.07,22.23,5.0,,,2016.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1055.0,0.0,신정두산위브,20230712,78300,75.63,0.0,4.0,,,2012.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,100.0,22.0,테마100,20230712,30500,26.13,15.93,3.0,,,2020.0,연립다세대,직거래,
2023,11470,양천구,10200,목동,1.0,대지,804.0,25.0,신성빌라(804),20230712,25400,56.98,24.07,2.0,,,1993.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,79.0,17.0,대근아트빌,20230712,25000,30.22,18.5,4.0,,,2018.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,325.0,0.0,목동신시가지11,20230712,128000,66.24,0.0,10.0,,,1988.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1198.0,3.0,대성유니드2차,20230711,66000,84.67,0.0,8.0,,,2004.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1281.0,0.0,푸른마을2,20230711,43000,49.16,0.0,13.0,,,2001.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,549.0,0.0,목동금호베스트빌,20230711,95000,102.84,0.0,12.0,,,2002.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1044.0,0.0,정은스카이빌(1044),20230711,56000,79.96,0.0,7.0,,,2006.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1049.0,0.0,장수마을2단지동원데쟈뷰,20230710,71500,84.01,0.0,7.0,,,2007.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,963.0,29.0,낭주아트빌,20230710,36500,47.34,20.02,4.0,,,2003.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,312.0,0.0,목동신시가지9,20230710,197000,106.93,0.0,8.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,548.0,4.0,청송빌라트,20230710,21500,66.65,23.1,7.0,,,2003.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,923.0,13.0,아크로파크빌,20230710,20000,29.1,18.6,3.0,,,2015.0,연립다세대,직거래,
2023,11470,양천구,10100,신정동,1.0,대지,1198.0,23.0,대성유니드1차,20230710,54000,59.87,0.0,14.0,,,2004.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,,,,,,20230709,102000,385.74,174.3,,,,1997.0,단독다가구,중개거래,"서울 구로구, 서울 양천구"
2023,11470,양천구,10300,신월동,1.0,대지,444.0,5.0,도화위너스트윈빌,20230709,30000,58.2,30.75,5.0,,,2010.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,127.0,1.0,궁전,20230709,37500,59.76,0.0,9.0,,,1999.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,734.0,31.0,삼성파크빌(734-31),20230709,40000,69.54,33.2,5.0,,,2001.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,528.0,12.0,수정빌라2차,20230708,14700,47.25,26.79,-1.0,,,1991.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,1076.0,0.0,목동센트럴아이파크위브2단지,20230708,96000,84.97,0.0,3.0,,,2020.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1323.0,0.0,목동힐스테이트,20230708,127000,59.95,0.0,2.0,,,2016.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,231.0,63.0,제일그린빌라,20230708,35000,58.2,24.26,3.0,,,1994.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,324.0,48.0,해비치빌,20230708,22000,29.28,17.87,5.0,,,2016.0,연립다세대,중개거래,"서울 강서구, 서울 양천구"
2023,11470,양천구,10100,신정동,1.0,대지,973.0,40.0,하나목동아이파크뷰(973-40),20230708,34000,25.35,10.49,5.0,,,2020.0,연립다세대,직거래,
2023,11470,양천구,10100,신정동,1.0,대지,973.0,18.0,미래하임,20230707,41800,29.71,15.77,5.0,,,2016.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,914.0,3.0,굿모닝트라움,20230707,22000,25.06,16.39,4.0,,,2017.0,연립다세대,직거래,
2023,11470,양천구,10100,신정동,1.0,대지,327.0,0.0,목동신시가지13,20230707,140000,70.73,0.0,6.0,,,1987.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,935.0,0.0,진도1,20230707,130000,84.96,0.0,5.0,,,1998.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,929.0,0.0,목동청구한신아파트,20230707,144000,84.76,0.0,15.0,,,1997.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,904.0,0.0,목동신시가지4,20230707,144000,65.34,0.0,5.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,902.0,0.0,목동신시가지2,20230707,295000,152.64,0.0,3.0,,,1986.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,535.0,33.0,삼원리치빌,20230707,30000,60.06,34.65,3.0,,,2009.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,1326.0,0.0,래미안목동아델리체(1326),20230707,135000,84.95,0.0,6.0,,,2021.0,아파트,중개거래,서울 양천구
2023,11470,양천구,10100,신정동,1.0,대지,924.0,3.0,베라힐6차(924-3),20230707,36800,38.7,25.04,5.0,,,2019.0,연립다세대,직거래,
2023,11470,양천구,10200,목동,1.0,대지,912.0,0.0,목동신시가지5,20230706,189000,81.64,0.0,1.0,,,1986.0,아파트,중개거래,"서울 양천구, 서울 영등포구"
2023,11470,양천구,10100,신정동,1.0,대지,966.0,1.0,서륭그린빌,20230706,39000,43.39,24.94,4.0,,,2011.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10300,신월동,1.0,대지,157.0,8.0,그레이튼신월101동102동,20230706,47000,40.54,27.79,3.0,,,2022.0,연립다세대,중개거래,서울 양천구
2023,11470,양천구,10200,목동,1.0,대지,318.0,96.0,동궁아트빌,20230706,18000,67.91,30.26,-1.0,,,2002.0,연립다세대,중개거래,서울 양천구
